Brand,Model,Processor,RAM_GB,Storage_SSD_GB,GPU,Category,Price_USD,Category_enc
Acer,Swift X 16,AMD Ryzen 7 7840U,16,512,NVIDIA RTX 4050,Programming,1299,3
Acer,ConceptD 7,Intel Core i7-12700H,32,1000,NVIDIA RTX 3080,Editing,2999,0
Acer,Aspire 5,Intel Core i7-1355U,16,512,NVIDIA RTX 2050,Office,799,2
Acer,Extensa 15,Intel Core i5-1235U,8,256,Intel Iris Xe,Office,449,2
Acer,TravelMate P4,Intel Core i7-1355U,16,512,Intel Iris Xe,Office,999,2
Razer,Blade 16,Intel Core i9-13950HX,32,1000,NVIDIA RTX 4090,Gaming,3999,1
Razer,Blade 14,AMD Ryzen 9 7945HX,16,1000,NVIDIA RTX 4070,Gaming,2499,1
Razer,Blade 15,Intel Core i7-13800H,16,1000,NVIDIA RTX 4070,Gaming,2499,1
Razer,Blade Studio 16,Intel Core i9-13950HX,64,2000,NVIDIA RTX 4090,Editing,4999,0
Samsung,Galaxy Book3 Ultra,Intel Core i9-13900H,32,1000,NVIDIA RTX 4070,Editing,2499,0
Samsung,Galaxy Book3 Pro 360,Intel Core i7-1360P,16,512,Intel Iris Xe,Programming,1699,3
Samsung,Galaxy Book3 Pro,Intel Core i5-1340P,16,512,Intel Iris Xe,Office,1299,2
Samsung,Galaxy Book3 360,Intel Core i5-1335U,8,512,Intel Iris Xe,Office,999,2
Microsoft,Surface Pro 9,Intel Core i7-1265U,16,256,Intel Iris Xe,Office,1799,2
Microsoft,Surface Laptop 5,Intel Core i7-1265U,16,512,Intel Iris Xe,Programming,1699,3
Microsoft,Surface Laptop Studio 2,Intel Core i7-13700H,32,1000,NVIDIA RTX 4060,Editing,2399,0
LG,Gram 17,Intel Core i7-1360P,16,512,Intel Iris Xe,Programming,1799,3
LG,Gram 16,Intel Core i7-1360P,16,512,Intel Iris Xe,Office,1499,2
LG,Gram 14,Intel Core i5-1340P,16,512,Intel Iris Xe,Office,1299,2
LG,Gram Pro 16,Intel Core Ultra 7 155H,32,1000,NVIDIA RTX 3050,Programming,1999,3
Huawei,MateBook X Pro,Intel Core i7-1360P,16,1000,Intel Iris Xe,Programming,1699,3
Huawei,MateBook 16s,Intel Core i9-12900H,16,1000,Intel Iris Xe,Programming,1499,3
Huawei,MateBook D16,Intel Core i5-12450H,16,512,Intel Iris Xe,Office,799,2
Xiaomi,RedmiBook Pro 15,Intel Core i7-12650H,16,512,NVIDIA MX550,Office,899,2
Xiaomi,Mi Notebook Pro,Intel Core i7-11390H,16,512,NVIDIA MX450,Programming,999,3
ASUS,ROG Strix SCAR 16,Intel Core i9-13980HX,32,2000,NVIDIA RTX 4090,Gaming,3999,1
ASUS,ROG Strix G15,AMD Ryzen 9 6900HX,16,1000,NVIDIA RTX 3080 Ti,Gaming,1999,1
Dell,XPS 17,Intel Core i9-13900H,32,1000,NVIDIA RTX 4060,Editing,2799,0
HP,ZBook Studio G10,Intel Core i9-13900H,32,1000,NVIDIA RTX 4000 Ada,Editing,3499,0
Lenovo,Legion Slim 5,AMD Ryzen 7 7745HX,16,512,NVIDIA RTX 4060,Gaming,1199,1
MSI,GS76 Stealth,Intel Core i9-11900H,32,1000,NVIDIA RTX 3080,Gaming,2799,1
Acer,Predator Triton 500,Intel Core i7-12700H,16,1000,NVIDIA RTX 3080 Ti,Gaming,2499,1
ASUS,Zenbook 14 OLED,Intel Core i5-1340P,16,512,Intel Iris Xe,Office,999,2
Dell,Inspiron 15,Intel Core i7-1355U,16,512,NVIDIA MX570,Office,899,2
HP,Laptop 15s,Intel Core i3-1215U,8,256,Intel Iris Xe,Office,399,2
Lenovo,IdeaPad Gaming 3,AMD Ryzen 5 7535HS,16,512,NVIDIA RTX 3050,Gaming,799,1
MSI,GF63 Thin,Intel Core i5-12450H,8,512,NVIDIA RTX 4050,Gaming,699,1
Acer,Aspire 7,AMD Ryzen 5 5500U,8,512,NVIDIA GTX 1650,Gaming,599,1
ASUS,VivoBook 14X OLED,Intel Core i5-12500H,16,512,Intel Iris Xe,Programming,799,3
HP,Pavilion x360,Intel Core i5-1335U,16,512,Intel Iris Xe,Programming,749,3
Lenovo,Yoga Slim 7,AMD Ryzen 7 7735U,16,512,AMD Radeon 680M,Programming,1099,3
Dell,G14,AMD Ryzen 7 7745HX,16,512,NVIDIA RTX 4060,Gaming,1099,1
HP,Spectre x360 13.5,Intel Core Ultra 7 155H,16,512,Intel Arc,Programming,1599,3
